idx,learning_rate,hidden_size,dropout,num_head,num_transf,mlp_size,patch_size,weight_decay,attention_selection,entangle,penny_or_kipu,RD,convolutional,paralel,test_auc,test_acc,val_auc,val_acc,#params
0,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,True,kipu,1,True,2,92.76456564895888,75.66084788029926,93.61350536847402,76.07178464606181,48823
1,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,True,kipu,1,True,2,92.79792153404783,75.86034912718205,92.79300722914931,75.17447657028913,48823
2,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,True,kipu,1,True,2,92.00585414678457,74.3640897755611,93.21775022906793,74.47657028913261,48823
3,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,True,kipu,1,True,2,91.59781750925148,74.81296758104739,93.47858514125166,75.07477567298105,48823
4,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,True,kipu,1,True,2,92.82909053748068,74.96259351620948,92.80842828344808,75.3738783649053,48823
5,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,True,kipu,1,True,2,92.4559490459388,74.06483790523691,93.2562363817163,75.47357926221336,48823
6,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,True,kipu,1,True,2,91.92672812906918,74.81296758104739,92.84189238806873,73.678963110668,48823
7,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,True,kipu,1,True,2,92.12457111351357,74.66334164588528,92.86764525091657,73.57926221335993,48823
8,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,True,kipu,1,True,2,92.45551866697926,75.96009975062344,92.884687596831,75.77268195413758,48823
9,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,True,kipu,1,True,2,92.04039853731186,75.46134663341645,92.97475673098324,75.87238285144566,48823
10,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,True,kipu,1,True,2,92.19880926021177,75.76059850374065,93.1022364535734,74.47657028913261,48823
11,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,True,kipu,1,True,2,92.43757482658619,75.21197007481297,92.8757491959108,74.57627118644068,48823
12,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,True,kipu,1,True,2,92.74290214449911,75.56109725685786,93.40139092815221,76.76969092721835,48823
13,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,True,kipu,1,True,2,92.45998432495561,74.96259351620948,93.3845229652477,75.87238285144566,48823
14,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,True,kipu,1,True,2,91.9415349308973,74.46384039900249,93.14162655438807,74.0777666999003,48823
15,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,True,kipu,1,True,2,92.15754641138983,73.16708229426435,93.18571793920236,74.67597208374876,48823
16,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,True,kipu,1,True,2,92.23249507171539,74.96259351620948,93.05953860712641,75.97208374875373,48823
17,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,True,kipu,1,True,2,92.49637256083209,74.4139650872818,93.06211228555638,74.97507477567298,48823
18,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,True,kipu,1,True,2,92.06642136983346,75.36159600997506,93.43258096323332,75.77268195413758,48823
19,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,True,kipu,1,True,2,92.29691020213194,75.31172069825436,93.53544593179214,75.2741774675972,48823
20,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,True,kipu,1,True,2,91.82734234845046,74.214463840399,92.8017324215388,73.47956131605184,48823
21,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,True,kipu,1,True,2,92.62123108376218,75.36159600997506,93.39663087784292,75.57328015952145,48823
22,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,True,kipu,1,True,2,92.24615223684036,75.71072319201994,93.28167720222214,76.07178464606181,48823
23,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,True,kipu,1,True,2,92.11849055397744,74.96259351620948,92.94405454857751,74.27716849451646,48823
24,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,True,kipu,1,True,2,92.10986134682985,74.76309226932668,93.26456151194694,74.97507477567298,48823
25,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,True,kipu,1,True,2,92.26657511187939,74.56359102244389,93.15925274367785,75.47357926221336,48823
26,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,True,kipu,1,True,2,92.29136718171448,76.20947630922693,93.15195749440487,75.17447657028913,48823
27,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,True,kipu,1,True,2,92.5408586236986,74.3142144638404,92.96924351555592,73.57926221335993,48823
28,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,True,kipu,1,True,2,92.26774690812599,75.21197007481297,93.17268708176567,75.3738783649053,48823
29,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,True,kipu,1,True,2,92.04993478226287,74.81296758104739,92.74555479260809,73.37986041874377,48823
30,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,True,kipu,1,True,2,92.56076277729835,74.51371571072319,93.56144587393773,76.17148554336988,48823
31,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,True,kipu,1,True,2,92.34119116137532,74.76309226932668,93.17967423615208,75.3738783649053,48823
32,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,True,kipu,1,True,2,91.9128980539065,75.76059850374065,93.27995080136124,76.17148554336988,48823
33,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,True,kipu,1,True,2,92.46788573356515,74.96259351620948,93.24496018169326,75.3738783649053,48823
34,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,True,kipu,1,True,2,91.81628650182515,74.81296758104739,93.01789954588186,75.17447657028913,48823
35,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,True,kipu,1,True,2,92.07257003128305,72.81795511221945,93.0428721423069,75.07477567298105,48823
36,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,True,kipu,1,True,2,91.96767784303326,73.96508728179552,93.04736729118143,75.17447657028913,48823
37,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,True,kipu,1,True,2,91.9426377361525,74.61346633416458,92.85874746535471,73.87836490528414,48823
38,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,True,kipu,1,True,2,91.8204937769201,74.11471321695761,92.97616467460993,75.47357926221336,48823
39,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,True,kipu,1,True,2,92.12166523999169,75.46134663341645,93.00768801394781,74.77567298105683,48823
40,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,True,kipu,1,True,2,92.37845104387131,75.56109725685786,92.89098316393624,74.47657028913261,48823
41,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,True,kipu,1,True,2,92.705159292732,75.11221945137157,93.29594543800164,75.2741774675972,48823
42,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,True,kipu,1,True,2,92.34481238436513,74.2643391521197,93.41195952445779,75.3738783649053,48823
43,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,True,kipu,1,True,2,92.05822729918285,74.46384039900249,93.0956389322428,73.678963110668,48823
44,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,True,kipu,1,True,2,91.87432980543643,74.61346633416458,93.46076145086096,75.07477567298105,48823
45,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,True,kipu,1,True,2,93.02659958199939,76.15960099750623,93.29850571930515,75.3738783649053,48823
46,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,True,kipu,1,True,2,91.97691190996348,74.214463840399,93.20345022571644,75.67298105682951,48823
47,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,True,kipu,1,True,2,91.88945575682604,74.61346633416458,92.94917690783689,75.47357926221336,48823
48,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,True,kipu,1,True,2,92.12374785433448,73.91521197007481,92.87576676541376,74.17746759720838,48823
49,0.0025,48,"{'embedding_attn': 0.3, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,filter,True,kipu,1,True,2,92.13068306581745,74.4139650872818,92.96285871349652,74.57627118644068,48823
