idx,patch_size,q_stride,test_auc,test_acc,val_auc,val_acc,#params
0,2,1,80.89074010456919,44.03990024937656,91.32041207274071,74.17746759720838,177831
0,2,4,76.20130059789089,44.48877805486284,91.89825227880048,74.57627118644068,177831
0,4,1,73.37470159667309,62.8927680798005,91.01563871523949,73.47956131605184,1902159
0,4,4,76.3481129739778,67.03241895261846,91.02235192951993,73.18045862412762,1902159
1,2,1,77.37348948794043,53.067331670822945,91.68541238050649,70.08973080757727,177831
1,2,4,72.14179334218231,20.498753117206984,92.76993486109484,74.67597208374876,177831
1,4,1,67.28398869937449,28.827930174563594,90.7824442621258,71.9840478564307,1902159
1,4,4,72.56546028157032,51.87032418952619,90.14946703807134,71.88434695912264,1902159
2,2,1,73.5496453045135,27.48129675810474,92.33469128982942,75.3738783649053,177831
2,2,4,79.43543007793686,56.259351620947626,92.17312720007578,74.27716849451646,177831
2,4,1,75.11733991779013,38.90274314214464,90.80779619723805,72.68195413758724,1902159
2,4,4,70.25088605854425,39.45137157107232,90.83459310463641,72.18344965104686,1902159
3,2,1,79.81127197613469,56.70822942643392,91.92335563938771,72.28315054835494,177831
3,2,4,80.69704729022769,56.758104738154614,91.40054423934117,74.57627118644068,177831
3,4,1,69.56830356418617,38.65336658354115,91.29017322801393,72.58225324027916,1902159
3,4,4,63.19803599993692,47.53117206982543,90.96616910786176,73.08075772681954,1902159
4,2,1,74.4447114687878,35.41147132169576,91.80928416348407,74.57627118644068,177831
4,2,4,77.67684436361276,41.39650872817955,91.5341713984624,74.37686939182453,177831
4,4,1,62.68088381818321,20.74812967581047,91.04620363076131,71.9840478564307,1902159
4,4,4,75.73137440377464,61.59600997506235,90.67889264836792,71.08673978065802,1902159
5,2,1,70.31340194887994,31.571072319201992,91.78936224655779,73.37986041874377,177831
5,2,4,74.85977906658823,36.109725685785534,92.43109101380641,73.678963110668,177831
5,4,1,71.03966672320506,34.46384039900249,90.93652336024111,71.78464606181456,1902159
5,4,4,73.1060364002887,47.73067331670823,91.18734570320638,73.28015952143569,1902159
6,2,1,69.96413598740493,36.35910224438903,91.45523579021551,72.18344965104686,177831
6,2,4,76.35332366479781,51.07231920199501,91.96488584716158,73.97806580259221,177831
6,4,1,69.98509478057288,56.65835411471322,90.68196450724385,72.38285144566301,1902159
6,4,4,79.68021955996262,66.93266832917706,91.56460115025166,73.18045862412762,1902159
7,2,1,73.41828858565792,28.5785536159601,91.2543819091092,72.98105682951147,177831
7,2,4,70.89844346336811,31.820448877805486,91.81142912334774,74.37686939182453,177831
7,4,1,66.36077378174573,45.236907730673316,90.79145430150322,72.88135593220339,1902159
7,4,4,69.93053758382321,59.00249376558604,91.26855105231745,72.18344965104686,1902159
8,2,1,72.58042598085501,32.119700748129674,92.56832299924038,74.47657028913261,177831
8,2,4,81.39750946748518,49.52618453865337,92.01579584350256,71.38584247258225,177831
8,4,1,76.94581070989234,39.30174563591022,91.5052790229802,72.28315054835494,1902159
8,4,4,68.28055218858074,29.42643391521197,91.099445826716,71.78464606181456,1902159
9,2,1,77.02400744021514,52.618453865336654,91.77087560821465,73.77866400797608,177831
9,2,4,75.2698173753039,49.42643391521197,91.82002632690805,72.58225324027916,177831
9,4,1,68.55380586879419,49.42643391521197,90.73453147207147,71.08673978065802,1902159
9,4,4,58.714187108063875,29.526184538653368,91.14258653185628,72.68195413758724,1902159
10,2,1,77.61763826636977,28.179551122194514,92.16045964722879,72.18344965104686,177831
10,2,4,81.02264007640997,64.88778054862843,91.92884803820581,75.07477567298105,177831
10,4,1,72.401254199562,41.39650872817955,91.11925675531529,71.48554336989032,1902159
10,4,4,71.8679419418217,54.1645885286783,91.10155298361666,72.08374875373879,1902159
11,2,1,68.15503607361315,40.748129675810475,91.72483399723596,72.68195413758724,177831
11,2,4,81.04296831562165,55.21197007481297,91.84510279750766,74.47657028913261,177831
11,4,1,71.14248966057659,54.06483790523691,91.40808821450317,71.1864406779661,1902159
11,4,4,60.96564749833699,18.753117206982544,91.1207037030207,72.58225324027916,1902159
12,2,1,77.89766683197078,53.86533665835411,91.90667600059153,74.0777666999003,177831
12,2,4,73.56429933459016,36.957605985037404,92.14654735109342,73.97806580259221,177831
12,4,1,72.98293863081365,43.740648379052374,90.9607377645253,73.28015952143569,1902159
12,4,4,71.13847973711377,27.08229426433915,91.37597143076903,71.9840478564307,1902159
13,2,1,70.43288464403206,46.13466334164589,91.9343805109116,73.678963110668,177831
13,2,4,66.98748216267299,56.10972568578554,91.8597820528932,72.98105682951147,177831
13,4,1,73.60022155599454,50.62344139650873,91.14797006906633,70.98703888334995,1902159
13,4,4,62.42262156557089,49.22693266832918,91.56531708554479,73.37986041874377,1902159
14,2,1,72.12616171997414,20.54862842892768,92.29494176214445,72.68195413758724,177831
14,2,4,65.7838751522718,36.758104738154614,91.70587721684322,74.27716849451646,177831
14,4,1,69.40819143940725,46.733167082294266,91.08724471599615,73.57926221335993,1902159
14,4,4,67.71506968521159,43.042394014962596,90.11498158399732,71.5852442671984,1902159
15,2,1,74.68457682042579,31.97007481296758,91.58120626707296,73.87836490528414,177831
15,2,4,76.55203041128404,36.45885286783042,91.9663146299144,72.88135593220339,177831
15,4,1,58.40209442046961,28.827930174563594,91.47235702366426,72.28315054835494,1902159
15,4,4,61.19340349097847,29.02743142144638,90.97967322198309,72.38285144566301,1902159
16,2,1,79.62904744563943,42.394014962593516,92.26315149905757,73.77866400797608,177831
16,2,4,77.43714125914894,35.51122194513716,92.18366891290498,74.47657028913261,177831
16,4,1,72.6700885556467,57.80548628428927,91.15388443077218,72.48255234297109,1902159
16,4,4,71.2174679883357,61.09725685785536,91.47310621885664,71.38584247258225,1902159
17,2,1,73.45903373548872,30.024937655860352,91.99453657201563,75.47357926221336,177831
17,2,4,77.88299062617432,48.927680798004985,91.9878800698389,73.47956131605184,177831
17,4,1,65.90477497024695,48.079800498753116,90.89410539465224,72.68195413758724,1902159
17,4,4,72.75761602451338,40.299251870324184,90.6211413288511,72.18344965104686,1902159
18,2,1,73.68239833229556,26.83291770573566,92.2490189735721,74.0777666999003,177831
18,2,4,72.2178783088534,50.22443890274314,92.04501788153573,74.77567298105683,177831
18,4,1,73.66085115021342,55.11221945137157,91.69689922548835,73.08075772681954,1902159
18,4,4,70.78065841173853,28.379052369077307,91.0863152603282,72.28315054835494,1902159
19,2,1,81.51903188378513,58.30423940149626,92.71699777861562,73.37986041874377,177831
19,2,4,79.90341014958366,46.932668329177055,91.96357464626351,72.18344965104686,177831
19,4,1,69.7148331206892,51.4214463840399,91.26194151161529,74.17746759720838,1902159
19,4,4,67.09664773792076,30.174563591022448,90.70761388152914,72.18344965104686,1902159
20,2,1,72.56986917022064,47.68079800498753,91.625069818711,70.98703888334995,177831
20,2,4,76.90393486630829,61.99501246882792,91.86990464087144,74.0777666999003,177831
20,4,1,65.380844501046,44.33915211970075,90.86861615278295,72.28315054835494,1902159
20,4,4,68.76461845227587,26.633416458852864,91.07712868595917,72.08374875373879,1902159
21,2,1,71.46937453503045,38.30423940149626,92.30095072173451,75.47357926221336,177831
21,2,4,74.22809099092295,39.00249376558603,92.35617094023148,72.58225324027916,177831
21,4,1,66.37340781795261,29.276807980049874,91.3354846328413,72.28315054835494,1902159
21,4,4,71.39857296400194,61.19700748129676,91.07438334425943,73.47956131605184,1902159
22,2,1,68.54723691672753,24.33915211970075,91.95765855034806,73.57926221335993,177831
22,2,4,73.6920244093164,29.42643391521197,92.61588676175131,74.47657028913261,177831
22,4,1,69.87281988304524,31.271820448877808,90.72243828868216,73.18045862412762,1902159
22,4,4,70.03842018868774,53.61596009975062,91.11057643731571,72.88135593220339,1902159
23,2,1,69.59349336612625,50.773067331670816,92.14328048688866,73.678963110668,177831
23,2,4,80.40652520433638,59.9002493765586,92.09843015200516,70.98703888334995,177831
23,4,1,66.02997615264134,39.251870324189525,90.16945173527404,71.88434695912264,1902159
23,4,4,59.34152756995618,33.86533665835412,91.34527471217453,73.28015952143569,1902159
24,2,1,82.47509664732156,58.35411471321695,92.13192055386446,74.37686939182453,177831
24,2,4,72.64589456291634,41.84538653366584,92.09689414520574,73.28015952143569,177831
24,4,1,67.94196866451414,56.85785536159601,91.9269382056861,72.48255234297109,1902159
24,4,4,73.91371216071477,46.78304239401496,91.34137519077277,71.68494516450647,1902159
25,2,1,74.5440132039414,45.28678304239401,92.30262747758037,75.3738783649053,177831
25,2,4,72.02581065339977,30.773067331670823,92.25383779938161,74.47657028913261,177831
25,4,1,65.5498857325007,23.74064837905237,90.64757043369698,73.678963110668,1902159
25,4,4,64.22560181727994,22.094763092269325,90.99940138656503,71.5852442671984,1902159
26,2,1,76.20943030322069,45.08728179551122,92.44349184880872,71.78464606181456,177831
26,2,4,78.91980845372585,62.244389027431424,92.21393475111948,73.57926221335993,177831
26,4,1,71.62948322268574,65.13715710723193,91.11210680339165,72.38285144566301,1902159
26,4,4,66.77573671631392,40.947630922693264,92.08748531151979,74.0777666999003,1902159
27,2,1,77.72106956421777,49.97506234413965,92.40901480090457,73.678963110668,177831
27,2,4,70.56842340377972,19.850374064837904,91.85507356719931,74.37686939182453,177831
27,4,1,74.90180681704965,38.45386533665835,91.02530659016959,73.28015952143569,1902159
27,4,4,66.30210545335714,35.86034912718205,90.90478440466813,72.18344965104686,1902159
28,2,1,77.07654780279087,55.36159600997507,92.48910560040022,73.97806580259221,177831
28,2,4,66.62170863197626,45.28678304239401,92.22728492774405,74.17746759720838,177831
28,4,1,69.00662407910285,45.53615960099751,90.58689186925342,72.98105682951147,1902159
28,4,4,74.44192911252506,39.80049875311721,90.72396338710283,71.9840478564307,1902159
29,2,1,77.9442676218042,39.00249376558603,92.27928900163732,75.07477567298105,177831
29,2,4,71.1876852982482,48.428927680798004,92.17891745886165,74.67597208374876,177831
29,4,1,73.22034475634392,53.715710723192025,90.08553276865194,72.88135593220339,1902159
29,4,4,66.47419655404515,46.88279301745636,90.49375967639126,73.678963110668,1902159
30,2,1,82.2840211283029,66.93266832917706,91.8643321386944,72.58225324027916,177831
30,2,4,78.07107688480605,45.8354114713217,91.77120636073613,72.18344965104686,177831
30,4,1,75.42499488979068,43.740648379052374,91.31959956546338,72.28315054835494,1902159
30,4,4,74.25769705673267,41.84538653366584,91.63537180050612,71.5852442671984,1902159
31,2,1,69.97572910492605,37.50623441396509,92.24476415296212,73.77866400797608,177831
31,2,4,78.00948612121876,53.51620947630923,91.98084686245326,72.08374875373879,177831
31,4,1,71.16408444935304,47.880299251870326,90.47365217795146,72.78165503489531,1902159
31,4,4,77.59481871183812,60.29925187032419,90.5252235946892,69.49152542372882,1902159
32,2,1,78.194844472919,44.13965087281795,92.85976671337941,75.67298105682951,177831
32,2,4,76.73000954969665,37.45635910224439,92.008179652985,73.87836490528414,177831
32,4,1,65.60860397223107,43.49127182044888,91.12433268710409,72.98105682951147,1902159
32,4,4,78.26193775484428,52.069825436408976,91.17307950289673,71.78464606181456,1902159
33,2,1,73.78991048351219,63.84039900249376,92.19085994695833,73.57926221335993,177831
33,2,4,75.94412360508335,49.32668329177057,92.58146780642934,74.37686939182453,177831
33,4,1,74.67663237164552,49.576059850374065,91.15024004095518,71.9840478564307,1902159
33,4,4,71.38240960300465,30.92269326683292,91.15202328877439,72.48255234297109,1902159
34,2,1,79.20701225523459,48.229426433915215,92.67663904072579,74.97507477567298,177831
34,2,4,77.11411284065325,64.08977556109726,92.35189199380474,75.2741774675972,177831
34,4,1,69.63779243509686,51.17206982543641,91.35407717124203,73.08075772681954,1902159
34,4,4,70.5215716730294,40.947630922693264,91.41699631541897,72.58225324027916,1902159
35,2,1,72.98837018169439,47.63092269326683,92.03796291138592,70.48853439680957,177831
35,2,4,68.60194257572931,35.81047381546135,91.25168694228394,72.88135593220339,177831
35,4,1,70.87562799880432,48.02992518703242,90.42679317740532,73.08075772681954,1902159
35,4,4,64.07703881403059,23.14214463840399,91.31607182727241,72.58225324027916,1902159
36,2,1,78.48761037810296,64.48877805486283,92.59739624629884,72.98105682951147,177831
36,2,4,74.39978825297429,42.99251870324189,91.06203412880217,73.77866400797608,177831
36,4,1,73.25743880847295,46.28428927680798,91.246580675997,72.48255234297109,1902159
36,4,4,70.50768208362149,43.591022443890274,91.58405489679083,74.0777666999003,1902159
37,2,1,75.21395579995708,35.11221945137157,92.43876205369969,73.47956131605184,177831
37,2,4,78.03138041548944,55.11221945137157,92.12955651011596,72.08374875373879,177831
37,4,1,73.71904657892597,54.06483790523691,90.63869018047198,71.9840478564307,1902159
37,4,4,71.74420061065089,33.16708229426434,90.88147836590491,72.58225324027916,1902159
38,2,1,75.60433853224019,58.70324189526185,92.00048405045959,72.68195413758724,177831
38,2,4,76.31912659848857,37.80548628428927,91.75459504246425,70.18943170488534,177831
38,4,1,79.38553996033252,64.73815461346634,91.71914825620792,72.58225324027916,1902159
38,4,4,60.05155564408613,38.65336658354115,90.56451969986169,72.08374875373879,1902159
39,2,1,72.61866971102015,36.00997506234414,91.31677027031515,73.77866400797608,177831
39,2,4,77.99149066488737,43.84039900249376,91.95268509785312,72.58225324027916,177831
39,4,1,70.4933358216626,43.64089775561097,91.23358463575146,73.08075772681954,1902159
39,4,4,74.54134784473761,42.942643391521194,91.03918058757174,71.08673978065802,1902159
40,2,1,72.90250083820489,33.21695760598504,92.00478971270385,73.18045862412762,177831
40,2,4,73.63591327316216,65.13715710723193,92.02861388855882,73.18045862412762,177831
40,4,1,70.04173787448853,30.872817955112218,91.7435956035589,73.37986041874377,1902159
40,4,4,71.10958854634575,49.77556109725686,91.17862706098626,72.18344965104686,1902159
41,2,1,81.34793947637753,52.418952618453865,91.89051317711858,75.87238285144566,177831
41,2,4,70.97433698138535,22.942643391521198,91.72731231141384,72.68195413758724,177831
41,4,1,69.56091949925492,45.785536159601,90.57385578719,71.78464606181456,1902159
41,4,4,72.2157240881588,42.394014962593516,91.88153860870496,74.17746759720838,1902159
42,2,1,82.63677910856335,66.98254364089775,91.72259554307517,71.68494516450647,177831
42,2,4,76.08681339860095,47.880299251870326,91.85271167807014,73.18045862412762,177831
42,4,1,65.47781853683236,39.55112219451372,90.65373293843064,71.9840478564307,1902159
42,4,4,76.03599547043058,54.214463840399006,90.51876367761967,72.98105682951147,1902159
43,2,1,80.63717691317788,43.740648379052374,91.49235010680391,73.47956131605184,177831
43,2,4,78.73452582343383,56.807980049875304,91.80532841147816,71.68494516450647,177831
43,4,1,73.60015447953873,39.00249376558603,90.93353704883053,73.08075772681954,1902159
43,4,4,73.39246470077116,31.022443890274314,91.1104601074005,71.38584247258225,1902159
44,2,1,76.6049840778857,26.33416458852868,92.10158685176766,73.18045862412762,177831
